Connection to (10.0.2.2, 5020) failed: [Errno 111] Connection refused
Connection to GATEWAY (10.0.2.2:5020) failed (connect() returned False). Retrying in 1.0s...


[2026-04-28 23:49:45] Bus 1: V=1.013 pu, I=167.500 A, Breaker=CLOSE
[2026-04-28 23:50:05] Bus 5: V=1.013 pu, I=420.640 A, Breaker=CLOSE


[2026-04-28 23:50:09] Bus 1: V=0.987 pu, I=313.160 A, Breaker=CLOSE
[2026-04-28 23:50:09] Bus 2: V=0.976 pu, I=887.680 A, Breaker=CLOSE
[2026-04-28 23:50:09] Bus 3: V=1.014 pu, I=595.640 A, Breaker=CLOSE
[2026-04-28 23:50:09] Bus 4: V=0.967 pu, I=740.600 A, Breaker=CLOSE
[2026-04-28 23:50:09] Bus 5: V=0.966 pu, I=452.620 A, Breaker=CLOSE


[2026-04-28 23:50:13] Bus 1: V=1.048 pu, I=604.460 A, Breaker=CLOSE
[2026-04-28 23:50:13] Bus 2: V=1.005 pu, I=670.940 A, Breaker=CLOSE
[2026-04-28 23:50:13] Bus 3: V=1.034 pu, I=704.940 A, Breaker=CLOSE
[2026-04-28 23:50:13] Bus 4: V=0.972 pu, I=183.900 A, Breaker=CLOSE
[2026-04-28 23:50:13] Bus 5: V=0.981 pu, I=359.700 A, Breaker=CLOSE


[2026-04-28 23:50:17] Bus 1: V=1.048 pu, I=604.460 A, Breaker=CLOSE
[2026-04-28 23:50:17] Bus 2: V=1.005 pu, I=670.940 A, Breaker=CLOSE
[2026-04-28 23:50:17] Bus 3: V=1.034 pu, I=704.940 A, Breaker=CLOSE
[2026-04-28 23:50:17] Bus 4: V=0.972 pu, I=183.900 A, Breaker=CLOSE
[2026-04-28 23:50:17] Bus 5: V=0.981 pu, I=359.700 A, Breaker=CLOSE


[2026-04-28 23:50:21] Bus 1: V=0.971 pu, I=888.360 A, Breaker=CLOSE
[2026-04-28 23:50:21] Bus 2: V=1.037 pu, I=378.340 A, Breaker=CLOSE
[2026-04-28 23:50:21] Bus 3: V=1.015 pu, I=438.140 A, Breaker=CLOSE
[2026-04-28 23:50:21] Bus 4: V=1.041 pu, I=487.680 A, Breaker=CLOSE
[2026-04-28 23:50:21] Bus 5: V=0.976 pu, I=345.240 A, Breaker=CLOSE


[2026-04-28 23:50:25] Bus 1: V=1.006 pu, I=347.160 A, Breaker=CLOSE
[2026-04-28 23:50:25] Bus 2: V=1.008 pu, I=830.360 A, Breaker=CLOSE
[2026-04-28 23:50:25] Bus 3: V=0.989 pu, I=316.420 A, Breaker=CLOSE
[2026-04-28 23:50:25] Bus 4: V=1.049 pu, I=521.040 A, Breaker=CLOSE
[2026-04-28 23:50:25] Bus 5: V=0.959 pu, I=194.480 A, Breaker=CLOSE


[2026-04-28 23:50:29] Bus 1: V=0.960 pu, I=649.940 A, Breaker=CLOSE
[2026-04-28 23:50:29] Bus 2: V=1.029 pu, I=461.100 A, Breaker=CLOSE
[2026-04-28 23:50:29] Bus 3: V=0.956 pu, I=454.320 A, Breaker=CLOSE
[2026-04-28 23:50:29] Bus 4: V=1.049 pu, I=535.500 A, Breaker=CLOSE
[2026-04-28 23:50:29] Bus 5: V=1.047 pu, I=764.680 A, Breaker=CLOSE


[2026-04-28 23:50:33] Bus 1: V=0.951 pu, I=730.680 A, Breaker=CLOSE
[2026-04-28 23:50:33] Bus 2: V=1.018 pu, I=552.100 A, Breaker=CLOSE
[2026-04-28 23:50:33] Bus 3: V=0.976 pu, I=643.220 A, Breaker=CLOSE
[2026-04-28 23:50:33] Bus 4: V=0.961 pu, I=509.100 A, Breaker=CLOSE
[2026-04-28 23:50:33] Bus 5: V=0.995 pu, I=874.980 A, Breaker=CLOSE


[2026-04-28 23:50:37] Bus 1: V=0.951 pu, I=730.680 A, Breaker=CLOSE
[2026-04-28 23:50:37] Bus 2: V=1.018 pu, I=552.100 A, Breaker=CLOSE
[2026-04-28 23:50:37] Bus 3: V=0.976 pu, I=643.220 A, Breaker=CLOSE
[2026-04-28 23:50:37] Bus 4: V=0.961 pu, I=509.100 A, Breaker=CLOSE
[2026-04-28 23:50:37] Bus 5: V=1.010 pu, I=263.460 A, Breaker=CLOSE


[2026-04-28 23:50:42] Bus 1: V=1.037 pu, I=337.100 A, Breaker=CLOSE
[2026-04-28 23:50:42] Bus 2: V=1.000 pu, I=288.800 A, Breaker=CLOSE
[2026-04-28 23:50:42] Bus 3: V=1.041 pu, I=768.020 A, Breaker=CLOSE
[2026-04-28 23:50:42] Bus 4: V=0.979 pu, I=660.040 A, Breaker=CLOSE
[2026-04-28 23:50:42] Bus 5: V=1.010 pu, I=263.460 A, Breaker=CLOSE


[2026-04-28 23:50:46] Bus 1: V=1.026 pu, I=543.820 A, Breaker=CLOSE
[2026-04-28 23:50:46] Bus 2: V=1.027 pu, I=541.980 A, Breaker=CLOSE
[2026-04-28 23:50:46] Bus 3: V=0.950 pu, I=412.140 A, Breaker=CLOSE
[2026-04-28 23:50:46] Bus 4: V=0.951 pu, I=914.340 A, Breaker=CLOSE
[2026-04-28 23:50:46] Bus 5: V=1.037 pu, I=750.300 A, Breaker=CLOSE


[2026-04-28 23:50:50] Bus 1: V=0.980 pu, I=198.500 A, Breaker=CLOSE
[2026-04-28 23:50:50] Bus 2: V=1.037 pu, I=842.980 A, Breaker=CLOSE
[2026-04-28 23:50:50] Bus 3: V=0.958 pu, I=534.620 A, Breaker=CLOSE
[2026-04-28 23:50:50] Bus 4: V=0.956 pu, I=773.840 A, Breaker=CLOSE
[2026-04-28 23:50:50] Bus 5: V=1.026 pu, I=241.460 A, Breaker=CLOSE
