Connection to (10.0.2.2, 5020) failed: [Errno 111] Connection refused
Connection to GATEWAY (10.0.2.2:5020) failed (connect() returned False). Retrying in 1.0s...
Connection to (10.0.2.2, 5020) failed: [Errno 111] Connection refused
Connection to GATEWAY (10.0.2.2:5020) failed (connect() returned False). Retrying in 1.0s...


[2026-05-07 23:57:02] Bus 1: V=1.013 pu, I=169.241 A, Breaker=CLOSE
[2026-05-07 23:58:33] Bus 5: V=0.969 pu, I=510.552 A, Breaker=CLOSE


[2026-05-07 23:58:37] Bus 1: V=0.992 pu, I=367.897 A, Breaker=CLOSE
[2026-05-07 23:58:37] Bus 2: V=0.974 pu, I=878.759 A, Breaker=CLOSE
[2026-05-07 23:58:37] Bus 3: V=0.994 pu, I=814.172 A, Breaker=CLOSE
[2026-05-07 23:58:37] Bus 4: V=1.005 pu, I=190.172 A, Breaker=CLOSE
[2026-05-07 23:58:37] Bus 5: V=1.049 pu, I=752.655 A, Breaker=CLOSE


[2026-05-07 23:58:41] Bus 1: V=1.046 pu, I=820.655 A, Breaker=CLOSE
[2026-05-07 23:58:41] Bus 2: V=1.034 pu, I=269.966 A, Breaker=CLOSE
[2026-05-07 23:58:41] Bus 3: V=0.998 pu, I=316.034 A, Breaker=CLOSE
[2026-05-07 23:58:41] Bus 4: V=0.990 pu, I=199.241 A, Breaker=CLOSE
[2026-05-07 23:58:41] Bus 5: V=0.987 pu, I=915.172 A, Breaker=CLOSE


[2026-05-07 23:58:45] Bus 1: V=0.976 pu, I=768.655 A, Breaker=CLOSE
[2026-05-07 23:58:45] Bus 2: V=0.995 pu, I=477.345 A, Breaker=CLOSE
[2026-05-07 23:58:45] Bus 3: V=1.045 pu, I=871.931 A, Breaker=CLOSE
[2026-05-07 23:58:45] Bus 4: V=1.005 pu, I=696.621 A, Breaker=CLOSE
[2026-05-07 23:58:45] Bus 5: V=0.965 pu, I=392.414 A, Breaker=CLOSE


[2026-05-07 23:58:49] Bus 1: V=1.046 pu, I=567.724 A, Breaker=CLOSE
[2026-05-07 23:58:49] Bus 2: V=1.004 pu, I=720.034 A, Breaker=CLOSE
[2026-05-07 23:58:49] Bus 3: V=0.955 pu, I=625.862 A, Breaker=CLOSE
[2026-05-07 23:58:49] Bus 4: V=1.000 pu, I=802.759 A, Breaker=CLOSE
[2026-05-07 23:58:49] Bus 5: V=0.965 pu, I=916.793 A, Breaker=CLOSE


[2026-05-07 23:58:54] Bus 1: V=0.958 pu, I=307.172 A, Breaker=CLOSE
[2026-05-07 23:58:54] Bus 2: V=1.009 pu, I=661.276 A, Breaker=CLOSE
[2026-05-07 23:58:54] Bus 3: V=0.973 pu, I=250.621 A, Breaker=CLOSE
[2026-05-07 23:58:54] Bus 4: V=1.039 pu, I=327.552 A, Breaker=CLOSE
[2026-05-07 23:58:54] Bus 5: V=1.009 pu, I=619.138 A, Breaker=CLOSE


[2026-05-07 23:58:58] Bus 1: V=0.958 pu, I=307.172 A, Breaker=CLOSE
[2026-05-07 23:58:58] Bus 2: V=1.009 pu, I=661.276 A, Breaker=CLOSE
[2026-05-07 23:58:58] Bus 3: V=0.973 pu, I=250.621 A, Breaker=CLOSE
[2026-05-07 23:58:58] Bus 4: V=1.039 pu, I=327.552 A, Breaker=CLOSE
[2026-05-07 23:58:58] Bus 5: V=1.009 pu, I=619.138 A, Breaker=CLOSE


[2026-05-07 23:59:02] Bus 1: V=0.991 pu, I=602.621 A, Breaker=CLOSE
[2026-05-07 23:59:02] Bus 2: V=1.002 pu, I=863.552 A, Breaker=CLOSE
[2026-05-07 23:59:02] Bus 3: V=0.970 pu, I=720.138 A, Breaker=CLOSE
[2026-05-07 23:59:02] Bus 4: V=0.973 pu, I=466.621 A, Breaker=CLOSE
[2026-05-07 23:59:02] Bus 5: V=1.017 pu, I=374.931 A, Breaker=CLOSE


[2026-05-07 23:59:06] Bus 1: V=0.981 pu, I=739.655 A, Breaker=CLOSE
[2026-05-07 23:59:06] Bus 2: V=0.957 pu, I=524.517 A, Breaker=CLOSE
[2026-05-07 23:59:06] Bus 3: V=1.049 pu, I=869.034 A, Breaker=CLOSE
[2026-05-07 23:59:06] Bus 4: V=0.957 pu, I=329.172 A, Breaker=CLOSE
[2026-05-07 23:59:06] Bus 5: V=0.976 pu, I=885.207 A, Breaker=CLOSE


[2026-05-07 23:59:10] Bus 1: V=1.038 pu, I=793.034 A, Breaker=CLOSE
[2026-05-07 23:59:10] Bus 2: V=0.986 pu, I=276.483 A, Breaker=CLOSE
[2026-05-07 23:59:10] Bus 3: V=1.033 pu, I=666.931 A, Breaker=CLOSE
[2026-05-07 23:59:10] Bus 4: V=1.011 pu, I=895.586 A, Breaker=CLOSE
[2026-05-07 23:59:10] Bus 5: V=1.015 pu, I=156.103 A, Breaker=CLOSE


[2026-05-07 23:59:14] Bus 1: V=1.031 pu, I=369.172 A, Breaker=CLOSE
[2026-05-07 23:59:14] Bus 2: V=1.016 pu, I=854.759 A, Breaker=CLOSE
[2026-05-07 23:59:14] Bus 3: V=0.963 pu, I=249.724 A, Breaker=CLOSE
[2026-05-07 23:59:14] Bus 4: V=0.960 pu, I=598.034 A, Breaker=CLOSE
[2026-05-07 23:59:14] Bus 5: V=0.977 pu, I=628.172 A, Breaker=CLOSE


[2026-05-07 23:59:18] Bus 1: V=1.031 pu, I=369.172 A, Breaker=CLOSE
[2026-05-07 23:59:18] Bus 2: V=1.016 pu, I=854.759 A, Breaker=CLOSE
[2026-05-07 23:59:18] Bus 3: V=0.963 pu, I=249.724 A, Breaker=CLOSE
[2026-05-07 23:59:18] Bus 4: V=0.960 pu, I=598.034 A, Breaker=CLOSE
[2026-05-07 23:59:18] Bus 5: V=0.977 pu, I=628.172 A, Breaker=CLOSE


[2026-05-07 23:59:23] Bus 1: V=1.021 pu, I=301.276 A, Breaker=CLOSE
[2026-05-07 23:59:23] Bus 2: V=1.013 pu, I=349.207 A, Breaker=CLOSE
[2026-05-07 23:59:23] Bus 3: V=0.998 pu, I=844.069 A, Breaker=CLOSE
[2026-05-07 23:59:23] Bus 4: V=1.034 pu, I=215.483 A, Breaker=CLOSE
[2026-05-07 23:59:23] Bus 5: V=0.992 pu, I=366.379 A, Breaker=CLOSE


[2026-05-07 23:59:27] Bus 1: V=0.950 pu, I=779.414 A, Breaker=CLOSE
[2026-05-07 23:59:27] Bus 2: V=1.013 pu, I=347.586 A, Breaker=CLOSE
[2026-05-07 23:59:27] Bus 3: V=1.024 pu, I=559.828 A, Breaker=CLOSE
[2026-05-07 23:59:27] Bus 4: V=0.992 pu, I=161.069 A, Breaker=CLOSE
[2026-05-07 23:59:27] Bus 5: V=0.957 pu, I=862.793 A, Breaker=CLOSE


[2026-05-07 23:59:31] Bus 1: V=1.040 pu, I=546.621 A, Breaker=CLOSE
[2026-05-07 23:59:31] Bus 2: V=1.033 pu, I=577.552 A, Breaker=CLOSE
[2026-05-07 23:59:31] Bus 3: V=0.964 pu, I=258.862 A, Breaker=CLOSE
[2026-05-07 23:59:31] Bus 4: V=0.980 pu, I=854.655 A, Breaker=CLOSE
[2026-05-07 23:59:31] Bus 5: V=1.029 pu, I=785.793 A, Breaker=CLOSE


[2026-05-07 23:59:35] Bus 1: V=1.039 pu, I=300.793 A, Breaker=CLOSE
[2026-05-07 23:59:35] Bus 2: V=0.974 pu, I=236.897 A, Breaker=CLOSE
[2026-05-07 23:59:35] Bus 3: V=1.028 pu, I=804.414 A, Breaker=CLOSE
[2026-05-07 23:59:35] Bus 4: V=0.990 pu, I=631.897 A, Breaker=CLOSE
[2026-05-07 23:59:35] Bus 5: V=0.965 pu, I=892.655 A, Breaker=CLOSE


[2026-05-07 23:59:39] Bus 1: V=1.036 pu, I=865.621 A, Breaker=CLOSE
[2026-05-07 23:59:39] Bus 2: V=1.031 pu, I=800.000 A, Breaker=CLOSE
[2026-05-07 23:59:39] Bus 3: V=0.952 pu, I=750.000 A, Breaker=CLOSE
[2026-05-07 23:59:39] Bus 4: V=0.983 pu, I=877.276 A, Breaker=CLOSE
[2026-05-07 23:59:39] Bus 5: V=1.030 pu, I=787.828 A, Breaker=CLOSE


[2026-05-07 23:59:43] Bus 1: V=1.036 pu, I=865.621 A, Breaker=CLOSE
[2026-05-07 23:59:43] Bus 2: V=1.031 pu, I=800.000 A, Breaker=CLOSE
[2026-05-07 23:59:43] Bus 3: V=0.952 pu, I=750.000 A, Breaker=CLOSE
[2026-05-07 23:59:43] Bus 4: V=0.983 pu, I=877.276 A, Breaker=CLOSE
[2026-05-07 23:59:43] Bus 5: V=1.030 pu, I=787.828 A, Breaker=CLOSE


[2026-05-07 23:59:47] Bus 1: V=1.031 pu, I=345.310 A, Breaker=CLOSE
[2026-05-07 23:59:47] Bus 2: V=1.028 pu, I=228.414 A, Breaker=CLOSE
[2026-05-07 23:59:47] Bus 3: V=1.037 pu, I=778.483 A, Breaker=CLOSE
[2026-05-07 23:59:47] Bus 4: V=0.972 pu, I=797.552 A, Breaker=CLOSE
[2026-05-07 23:59:47] Bus 5: V=0.996 pu, I=386.862 A, Breaker=CLOSE


[2026-05-07 23:59:51] Bus 1: V=1.029 pu, I=316.793 A, Breaker=CLOSE
[2026-05-07 23:59:51] Bus 2: V=0.952 pu, I=314.862 A, Breaker=CLOSE
[2026-05-07 23:59:51] Bus 3: V=0.982 pu, I=826.034 A, Breaker=CLOSE
[2026-05-07 23:59:51] Bus 4: V=1.046 pu, I=349.138 A, Breaker=CLOSE
[2026-05-07 23:59:51] Bus 5: V=1.014 pu, I=451.034 A, Breaker=CLOSE


[2026-05-07 23:59:55] Bus 1: V=1.048 pu, I=535.759 A, Breaker=CLOSE
[2026-05-07 23:59:55] Bus 2: V=1.043 pu, I=230.414 A, Breaker=CLOSE
[2026-05-07 23:59:55] Bus 3: V=1.047 pu, I=275.759 A, Breaker=CLOSE
[2026-05-07 23:59:55] Bus 4: V=1.046 pu, I=339.345 A, Breaker=CLOSE
[2026-05-07 23:59:55] Bus 5: V=0.960 pu, I=503.724 A, Breaker=CLOSE


[2026-05-07 23:59:59] Bus 1: V=1.022 pu, I=383.034 A, Breaker=CLOSE
[2026-05-07 23:59:59] Bus 2: V=1.010 pu, I=536.931 A, Breaker=CLOSE
[2026-05-07 23:59:59] Bus 3: V=0.988 pu, I=599.241 A, Breaker=CLOSE
[2026-05-07 23:59:59] Bus 4: V=0.975 pu, I=710.621 A, Breaker=CLOSE
[2026-05-07 23:59:59] Bus 5: V=0.950 pu, I=903.586 A, Breaker=CLOSE


[2026-05-08 00:00:03] Bus 1: V=1.022 pu, I=383.034 A, Breaker=CLOSE
[2026-05-08 00:00:03] Bus 2: V=1.010 pu, I=536.931 A, Breaker=CLOSE
[2026-05-08 00:00:03] Bus 3: V=0.988 pu, I=599.241 A, Breaker=CLOSE
[2026-05-08 00:00:03] Bus 4: V=0.975 pu, I=710.621 A, Breaker=CLOSE
[2026-05-08 00:00:03] Bus 5: V=0.950 pu, I=903.586 A, Breaker=CLOSE


[2026-05-08 00:00:07] Bus 1: V=1.003 pu, I=698.621 A, Breaker=CLOSE
[2026-05-08 00:00:07] Bus 2: V=1.024 pu, I=648.379 A, Breaker=CLOSE
[2026-05-08 00:00:07] Bus 3: V=0.986 pu, I=208.759 A, Breaker=CLOSE
[2026-05-08 00:00:07] Bus 4: V=1.016 pu, I=397.862 A, Breaker=CLOSE
[2026-05-08 00:00:07] Bus 5: V=0.981 pu, I=814.552 A, Breaker=CLOSE


[2026-05-08 00:00:11] Bus 1: V=1.021 pu, I=373.414 A, Breaker=CLOSE
[2026-05-08 00:00:11] Bus 2: V=0.980 pu, I=473.069 A, Breaker=CLOSE
[2026-05-08 00:00:11] Bus 3: V=0.990 pu, I=381.793 A, Breaker=CLOSE
[2026-05-08 00:00:11] Bus 4: V=0.962 pu, I=491.552 A, Breaker=CLOSE
[2026-05-08 00:00:11] Bus 5: V=1.044 pu, I=640.966 A, Breaker=CLOSE


[2026-05-08 00:00:16] Bus 1: V=1.040 pu, I=597.966 A, Breaker=CLOSE
[2026-05-08 00:00:16] Bus 2: V=0.980 pu, I=582.069 A, Breaker=CLOSE
[2026-05-08 00:00:16] Bus 3: V=0.950 pu, I=390.931 A, Breaker=CLOSE
[2026-05-08 00:00:16] Bus 4: V=0.992 pu, I=599.138 A, Breaker=CLOSE
[2026-05-08 00:00:16] Bus 5: V=1.015 pu, I=499.483 A, Breaker=CLOSE


[2026-05-08 00:00:20] Bus 1: V=0.994 pu, I=317.379 A, Breaker=CLOSE
[2026-05-08 00:00:20] Bus 2: V=0.997 pu, I=842.207 A, Breaker=CLOSE
[2026-05-08 00:00:20] Bus 3: V=1.029 pu, I=273.862 A, Breaker=CLOSE
[2026-05-08 00:00:20] Bus 4: V=0.958 pu, I=569.345 A, Breaker=CLOSE
[2026-05-08 00:00:20] Bus 5: V=1.013 pu, I=402.862 A, Breaker=CLOSE


[2026-05-08 00:00:24] Bus 1: V=0.994 pu, I=317.379 A, Breaker=CLOSE
[2026-05-08 00:00:24] Bus 2: V=0.997 pu, I=842.207 A, Breaker=CLOSE
[2026-05-08 00:00:24] Bus 3: V=1.029 pu, I=273.862 A, Breaker=CLOSE
[2026-05-08 00:00:24] Bus 4: V=0.958 pu, I=569.345 A, Breaker=CLOSE
[2026-05-08 00:00:24] Bus 5: V=1.013 pu, I=402.862 A, Breaker=CLOSE


[2026-05-08 00:00:28] Bus 1: V=1.031 pu, I=703.103 A, Breaker=CLOSE
[2026-05-08 00:00:28] Bus 2: V=1.017 pu, I=318.379 A, Breaker=CLOSE
[2026-05-08 00:00:28] Bus 3: V=0.969 pu, I=176.483 A, Breaker=CLOSE
[2026-05-08 00:00:28] Bus 4: V=0.974 pu, I=528.448 A, Breaker=CLOSE
[2026-05-08 00:00:28] Bus 5: V=1.034 pu, I=201.069 A, Breaker=CLOSE


[2026-05-08 00:00:32] Bus 1: V=0.991 pu, I=638.379 A, Breaker=CLOSE
[2026-05-08 00:00:32] Bus 2: V=0.969 pu, I=705.241 A, Breaker=CLOSE
[2026-05-08 00:00:32] Bus 3: V=0.999 pu, I=338.828 A, Breaker=CLOSE
[2026-05-08 00:00:32] Bus 4: V=1.015 pu, I=154.345 A, Breaker=CLOSE
[2026-05-08 00:00:32] Bus 5: V=1.025 pu, I=721.793 A, Breaker=CLOSE


[2026-05-08 00:00:36] Bus 1: V=0.960 pu, I=496.345 A, Breaker=CLOSE
[2026-05-08 00:00:36] Bus 2: V=0.967 pu, I=912.828 A, Breaker=CLOSE
[2026-05-08 00:00:36] Bus 3: V=1.001 pu, I=190.517 A, Breaker=CLOSE
[2026-05-08 00:00:36] Bus 4: V=0.974 pu, I=820.207 A, Breaker=CLOSE
[2026-05-08 00:00:36] Bus 5: V=0.995 pu, I=767.172 A, Breaker=CLOSE


[2026-05-08 00:00:40] Bus 1: V=1.016 pu, I=891.138 A, Breaker=CLOSE
[2026-05-08 00:00:40] Bus 2: V=1.009 pu, I=868.897 A, Breaker=CLOSE
[2026-05-08 00:00:40] Bus 3: V=1.039 pu, I=596.517 A, Breaker=CLOSE
[2026-05-08 00:00:40] Bus 4: V=1.021 pu, I=526.034 A, Breaker=CLOSE
[2026-05-08 00:00:40] Bus 5: V=1.033 pu, I=552.172 A, Breaker=CLOSE


[2026-05-08 00:00:44] Bus 1: V=1.016 pu, I=891.138 A, Breaker=CLOSE
[2026-05-08 00:00:44] Bus 2: V=1.009 pu, I=868.897 A, Breaker=CLOSE
[2026-05-08 00:00:44] Bus 3: V=1.039 pu, I=596.517 A, Breaker=CLOSE
[2026-05-08 00:00:44] Bus 4: V=1.026 pu, I=535.931 A, Breaker=CLOSE
[2026-05-08 00:00:44] Bus 5: V=1.012 pu, I=357.448 A, Breaker=CLOSE


[2026-05-08 00:00:48] Bus 1: V=1.039 pu, I=692.276 A, Breaker=CLOSE
[2026-05-08 00:00:48] Bus 2: V=0.997 pu, I=351.138 A, Breaker=CLOSE
[2026-05-08 00:00:48] Bus 3: V=0.974 pu, I=655.517 A, Breaker=CLOSE
[2026-05-08 00:00:48] Bus 4: V=1.026 pu, I=535.931 A, Breaker=CLOSE
[2026-05-08 00:00:48] Bus 5: V=1.012 pu, I=357.448 A, Breaker=CLOSE


[2026-05-08 00:00:52] Bus 1: V=0.957 pu, I=386.828 A, Breaker=CLOSE
