Connection to (10.0.2.2, 5020) failed: [Errno 111] Connection refused
Connection to GATEWAY (10.0.2.2:5020) failed (connect() returned False). Retrying in 1.0s...


[2026-05-10 00:36:35] Bus 1: V=1.013 pu, I=97.724 A, Breaker=CLOSE
[2026-05-10 00:38:23] Bus 2: V=0.995 pu, I=275.586 A, Breaker=CLOSE
[2026-05-10 00:38:23] Bus 3: V=1.045 pu, I=503.414 A, Breaker=CLOSE
[2026-05-10 00:38:23] Bus 4: V=1.005 pu, I=402.207 A, Breaker=CLOSE
[2026-05-10 00:38:23] Bus 5: V=0.965 pu, I=226.552 A, Breaker=CLOSE


[2026-05-10 00:38:27] Bus 1: V=1.046 pu, I=327.759 A, Breaker=CLOSE
[2026-05-10 00:38:27] Bus 2: V=1.004 pu, I=415.690 A, Breaker=CLOSE
[2026-05-10 00:38:27] Bus 3: V=0.955 pu, I=361.345 A, Breaker=CLOSE
[2026-05-10 00:38:27] Bus 4: V=1.000 pu, I=463.448 A, Breaker=CLOSE
[2026-05-10 00:38:27] Bus 5: V=0.965 pu, I=529.310 A, Breaker=CLOSE


[2026-05-10 00:38:31] Bus 1: V=0.958 pu, I=177.345 A, Breaker=CLOSE
[2026-05-10 00:38:31] Bus 2: V=1.009 pu, I=381.793 A, Breaker=CLOSE
[2026-05-10 00:38:31] Bus 3: V=0.973 pu, I=144.690 A, Breaker=CLOSE
[2026-05-10 00:38:31] Bus 4: V=1.039 pu, I=189.103 A, Breaker=CLOSE
[2026-05-10 00:38:31] Bus 5: V=1.009 pu, I=357.448 A, Breaker=CLOSE


[2026-05-10 00:38:35] Bus 1: V=0.991 pu, I=347.931 A, Breaker=CLOSE
[2026-05-10 00:38:35] Bus 2: V=1.002 pu, I=498.552 A, Breaker=CLOSE
[2026-05-10 00:38:35] Bus 3: V=0.970 pu, I=415.759 A, Breaker=CLOSE
[2026-05-10 00:38:35] Bus 4: V=0.973 pu, I=269.414 A, Breaker=CLOSE
[2026-05-10 00:38:35] Bus 5: V=1.017 pu, I=216.448 A, Breaker=CLOSE


[2026-05-10 00:38:39] Bus 1: V=0.981 pu, I=427.034 A, Breaker=CLOSE
[2026-05-10 00:38:39] Bus 2: V=0.957 pu, I=302.828 A, Breaker=CLOSE
[2026-05-10 00:38:39] Bus 3: V=1.049 pu, I=501.724 A, Breaker=CLOSE
[2026-05-10 00:38:39] Bus 4: V=0.957 pu, I=190.034 A, Breaker=CLOSE
[2026-05-10 00:38:39] Bus 5: V=0.976 pu, I=511.069 A, Breaker=CLOSE


[2026-05-10 00:38:43] Bus 1: V=1.038 pu, I=457.828 A, Breaker=CLOSE
[2026-05-10 00:38:43] Bus 2: V=0.986 pu, I=159.621 A, Breaker=CLOSE
[2026-05-10 00:38:43] Bus 3: V=1.033 pu, I=385.034 A, Breaker=CLOSE
[2026-05-10 00:38:43] Bus 4: V=1.011 pu, I=517.069 A, Breaker=CLOSE
[2026-05-10 00:38:43] Bus 5: V=1.015 pu, I=90.103 A, Breaker=CLOSE


[2026-05-10 00:38:47] Bus 1: V=1.038 pu, I=457.828 A, Breaker=CLOSE
[2026-05-10 00:38:47] Bus 2: V=0.986 pu, I=159.621 A, Breaker=CLOSE
[2026-05-10 00:38:47] Bus 3: V=0.963 pu, I=144.172 A, Breaker=CLOSE
[2026-05-10 00:38:47] Bus 4: V=0.960 pu, I=345.276 A, Breaker=CLOSE
[2026-05-10 00:38:47] Bus 5: V=0.977 pu, I=362.690 A, Breaker=CLOSE


[2026-05-10 00:38:56] Bus 1: V=1.021 pu, I=173.931 A, Breaker=CLOSE
[2026-05-10 00:38:56] Bus 2: V=1.013 pu, I=201.621 A, Breaker=CLOSE
[2026-05-10 00:38:56] Bus 3: V=0.998 pu, I=487.310 A, Breaker=CLOSE
[2026-05-10 00:38:56] Bus 4: V=1.034 pu, I=124.414 A, Breaker=CLOSE
[2026-05-10 00:38:56] Bus 5: V=0.992 pu, I=211.517 A, Breaker=CLOSE


[2026-05-10 00:39:01] Bus 1: V=0.950 pu, I=450.000 A, Breaker=CLOSE
[2026-05-10 00:39:01] Bus 2: V=1.013 pu, I=200.655 A, Breaker=CLOSE
[2026-05-10 00:39:01] Bus 3: V=1.024 pu, I=323.207 A, Breaker=CLOSE
[2026-05-10 00:39:01] Bus 4: V=0.992 pu, I=93.000 A, Breaker=CLOSE
[2026-05-10 00:39:01] Bus 5: V=0.957 pu, I=498.138 A, Breaker=CLOSE


[2026-05-10 00:39:05] Bus 1: V=1.040 pu, I=315.586 A, Breaker=CLOSE
[2026-05-10 00:39:05] Bus 2: V=1.033 pu, I=333.448 A, Breaker=CLOSE
[2026-05-10 00:39:05] Bus 3: V=0.964 pu, I=149.448 A, Breaker=CLOSE
[2026-05-10 00:39:05] Bus 4: V=0.980 pu, I=493.414 A, Breaker=CLOSE
[2026-05-10 00:39:05] Bus 5: V=1.029 pu, I=453.655 A, Breaker=CLOSE


[2026-05-10 00:39:10] Bus 1: V=1.039 pu, I=173.655 A, Breaker=CLOSE
[2026-05-10 00:39:10] Bus 2: V=0.974 pu, I=136.759 A, Breaker=CLOSE
[2026-05-10 00:39:10] Bus 3: V=1.028 pu, I=464.414 A, Breaker=CLOSE
[2026-05-10 00:39:10] Bus 4: V=0.990 pu, I=364.793 A, Breaker=CLOSE
[2026-05-10 00:39:10] Bus 5: V=0.965 pu, I=515.379 A, Breaker=CLOSE


[2026-05-10 00:39:15] Bus 1: V=1.036 pu, I=499.759 A, Breaker=CLOSE
[2026-05-10 00:39:15] Bus 2: V=1.031 pu, I=461.862 A, Breaker=CLOSE
[2026-05-10 00:39:15] Bus 3: V=0.952 pu, I=433.000 A, Breaker=CLOSE
[2026-05-10 00:39:15] Bus 4: V=0.983 pu, I=506.483 A, Breaker=CLOSE
[2026-05-10 00:39:15] Bus 5: V=1.030 pu, I=454.828 A, Breaker=CLOSE


[2026-05-10 00:39:19] Bus 1: V=1.031 pu, I=199.379 A, Breaker=CLOSE
[2026-05-10 00:39:19] Bus 2: V=1.028 pu, I=131.862 A, Breaker=CLOSE
[2026-05-10 00:39:19] Bus 3: V=1.037 pu, I=449.448 A, Breaker=CLOSE
[2026-05-10 00:39:19] Bus 4: V=0.972 pu, I=460.448 A, Breaker=CLOSE
[2026-05-10 00:39:19] Bus 5: V=0.996 pu, I=223.345 A, Breaker=CLOSE


[2026-05-10 00:39:24] Bus 1: V=1.029 pu, I=182.897 A, Breaker=CLOSE
[2026-05-10 00:39:24] Bus 2: V=0.952 pu, I=181.759 A, Breaker=CLOSE
[2026-05-10 00:39:24] Bus 3: V=0.982 pu, I=476.897 A, Breaker=CLOSE
[2026-05-10 00:39:24] Bus 4: V=1.046 pu, I=201.586 A, Breaker=CLOSE
[2026-05-10 00:39:24] Bus 5: V=1.014 pu, I=260.379 A, Breaker=CLOSE


[2026-05-10 00:39:28] Bus 1: V=1.029 pu, I=182.897 A, Breaker=CLOSE
[2026-05-10 00:39:28] Bus 2: V=0.952 pu, I=181.759 A, Breaker=CLOSE
[2026-05-10 00:39:28] Bus 3: V=0.982 pu, I=476.897 A, Breaker=CLOSE
[2026-05-10 00:39:28] Bus 4: V=1.046 pu, I=201.586 A, Breaker=CLOSE
[2026-05-10 00:39:28] Bus 5: V=1.014 pu, I=260.379 A, Breaker=CLOSE


[2026-05-10 00:39:32] Bus 1: V=1.048 pu, I=309.310 A, Breaker=CLOSE
[2026-05-10 00:39:32] Bus 2: V=1.043 pu, I=133.000 A, Breaker=CLOSE
[2026-05-10 00:39:32] Bus 3: V=1.047 pu, I=159.207 A, Breaker=CLOSE
[2026-05-10 00:39:32] Bus 4: V=1.046 pu, I=195.897 A, Breaker=CLOSE
[2026-05-10 00:39:32] Bus 5: V=0.960 pu, I=290.828 A, Breaker=CLOSE


[2026-05-10 00:39:36] Bus 1: V=1.022 pu, I=221.138 A, Breaker=CLOSE
[2026-05-10 00:39:36] Bus 2: V=1.010 pu, I=310.000 A, Breaker=CLOSE
[2026-05-10 00:39:36] Bus 3: V=0.988 pu, I=345.966 A, Breaker=CLOSE
[2026-05-10 00:39:36] Bus 4: V=0.975 pu, I=410.276 A, Breaker=CLOSE
[2026-05-10 00:39:36] Bus 5: V=0.950 pu, I=521.655 A, Breaker=CLOSE


[2026-05-10 00:39:40] Bus 1: V=1.003 pu, I=403.345 A, Breaker=CLOSE
[2026-05-10 00:39:40] Bus 2: V=1.024 pu, I=374.345 A, Breaker=CLOSE
[2026-05-10 00:39:40] Bus 3: V=0.986 pu, I=120.517 A, Breaker=CLOSE
[2026-05-10 00:39:40] Bus 4: V=1.016 pu, I=229.690 A, Breaker=CLOSE
[2026-05-10 00:39:40] Bus 5: V=0.981 pu, I=470.276 A, Breaker=CLOSE


[2026-05-10 00:39:44] Bus 1: V=1.021 pu, I=215.586 A, Breaker=CLOSE
[2026-05-10 00:39:44] Bus 2: V=0.980 pu, I=273.138 A, Breaker=CLOSE
[2026-05-10 00:39:44] Bus 3: V=0.990 pu, I=220.414 A, Breaker=CLOSE
[2026-05-10 00:39:44] Bus 4: V=0.962 pu, I=283.793 A, Breaker=CLOSE
[2026-05-10 00:39:44] Bus 5: V=1.044 pu, I=370.034 A, Breaker=CLOSE


[2026-05-10 00:39:48] Bus 1: V=1.021 pu, I=215.586 A, Breaker=CLOSE
[2026-05-10 00:39:48] Bus 2: V=0.980 pu, I=273.138 A, Breaker=CLOSE
[2026-05-10 00:39:48] Bus 3: V=0.990 pu, I=220.414 A, Breaker=CLOSE
[2026-05-10 00:39:48] Bus 4: V=0.962 pu, I=283.793 A, Breaker=CLOSE
[2026-05-10 00:39:48] Bus 5: V=1.044 pu, I=370.034 A, Breaker=CLOSE


[2026-05-10 00:39:52] Bus 1: V=1.040 pu, I=345.207 A, Breaker=CLOSE
[2026-05-10 00:39:52] Bus 2: V=0.980 pu, I=336.069 A, Breaker=CLOSE
[2026-05-10 00:39:52] Bus 3: V=0.950 pu, I=225.690 A, Breaker=CLOSE
[2026-05-10 00:39:52] Bus 4: V=0.992 pu, I=345.897 A, Breaker=CLOSE
[2026-05-10 00:39:52] Bus 5: V=1.015 pu, I=288.379 A, Breaker=CLOSE


[2026-05-10 00:39:56] Bus 1: V=0.994 pu, I=183.241 A, Breaker=CLOSE
[2026-05-10 00:39:56] Bus 2: V=0.997 pu, I=486.241 A, Breaker=CLOSE
[2026-05-10 00:39:56] Bus 3: V=1.029 pu, I=158.103 A, Breaker=CLOSE
[2026-05-10 00:39:56] Bus 4: V=0.958 pu, I=328.724 A, Breaker=CLOSE
[2026-05-10 00:39:56] Bus 5: V=1.013 pu, I=232.586 A, Breaker=CLOSE


[2026-05-10 00:40:00] Bus 1: V=1.031 pu, I=405.931 A, Breaker=CLOSE
[2026-05-10 00:40:00] Bus 2: V=1.017 pu, I=183.828 A, Breaker=CLOSE
[2026-05-10 00:40:00] Bus 3: V=0.969 pu, I=101.897 A, Breaker=CLOSE
[2026-05-10 00:40:00] Bus 4: V=0.974 pu, I=305.103 A, Breaker=CLOSE
[2026-05-10 00:40:00] Bus 5: V=1.034 pu, I=116.069 A, Breaker=CLOSE


[2026-05-10 00:40:04] Bus 1: V=0.991 pu, I=368.552 A, Breaker=CLOSE
[2026-05-10 00:40:04] Bus 2: V=0.969 pu, I=407.172 A, Breaker=CLOSE
[2026-05-10 00:40:04] Bus 3: V=0.999 pu, I=195.621 A, Breaker=CLOSE
[2026-05-10 00:40:04] Bus 4: V=1.015 pu, I=89.103 A, Breaker=CLOSE
[2026-05-10 00:40:04] Bus 5: V=1.025 pu, I=416.724 A, Breaker=CLOSE


[2026-05-10 00:40:08] Bus 1: V=0.991 pu, I=368.552 A, Breaker=CLOSE
[2026-05-10 00:40:08] Bus 2: V=0.969 pu, I=407.172 A, Breaker=CLOSE
[2026-05-10 00:40:08] Bus 3: V=0.999 pu, I=195.621 A, Breaker=CLOSE
[2026-05-10 00:40:08] Bus 4: V=1.015 pu, I=89.103 A, Breaker=CLOSE
[2026-05-10 00:40:08] Bus 5: V=1.025 pu, I=416.724 A, Breaker=CLOSE


[2026-05-10 00:40:13] Bus 1: V=0.960 pu, I=286.552 A, Breaker=CLOSE
[2026-05-10 00:40:13] Bus 2: V=0.967 pu, I=527.034 A, Breaker=CLOSE
[2026-05-10 00:40:13] Bus 3: V=1.001 pu, I=109.966 A, Breaker=CLOSE
[2026-05-10 00:40:13] Bus 4: V=0.974 pu, I=473.552 A, Breaker=CLOSE
[2026-05-10 00:40:13] Bus 5: V=0.995 pu, I=442.931 A, Breaker=CLOSE


[2026-05-10 00:40:17] Bus 1: V=1.016 pu, I=514.483 A, Breaker=CLOSE
[2026-05-10 00:40:17] Bus 2: V=1.009 pu, I=501.655 A, Breaker=CLOSE
[2026-05-10 00:40:17] Bus 3: V=1.039 pu, I=344.379 A, Breaker=CLOSE
[2026-05-10 00:40:17] Bus 4: V=1.021 pu, I=303.690 A, Breaker=CLOSE
[2026-05-10 00:40:17] Bus 5: V=1.033 pu, I=318.793 A, Breaker=CLOSE


[2026-05-10 00:40:21] Bus 1: V=1.039 pu, I=399.690 A, Breaker=CLOSE
[2026-05-10 00:40:21] Bus 2: V=0.997 pu, I=202.724 A, Breaker=CLOSE
[2026-05-10 00:40:21] Bus 3: V=0.974 pu, I=378.448 A, Breaker=CLOSE
[2026-05-10 00:40:21] Bus 4: V=1.026 pu, I=309.414 A, Breaker=CLOSE
[2026-05-10 00:40:21] Bus 5: V=1.012 pu, I=206.379 A, Breaker=CLOSE


[2026-05-10 00:40:25] Bus 1: V=0.957 pu, I=223.345 A, Breaker=CLOSE
[2026-05-10 00:40:25] Bus 2: V=0.977 pu, I=234.207 A, Breaker=CLOSE
[2026-05-10 00:40:25] Bus 3: V=1.004 pu, I=148.414 A, Breaker=CLOSE
[2026-05-10 00:40:25] Bus 4: V=0.973 pu, I=404.552 A, Breaker=CLOSE
[2026-05-10 00:40:25] Bus 5: V=1.020 pu, I=114.000 A, Breaker=CLOSE


[2026-05-10 00:40:29] Bus 1: V=0.990 pu, I=330.069 A, Breaker=CLOSE
[2026-05-10 00:40:29] Bus 2: V=0.991 pu, I=180.655 A, Breaker=CLOSE
[2026-05-10 00:40:29] Bus 3: V=0.992 pu, I=490.448 A, Breaker=CLOSE
[2026-05-10 00:40:29] Bus 4: V=1.008 pu, I=391.069 A, Breaker=CLOSE
[2026-05-10 00:40:29] Bus 5: V=1.035 pu, I=410.586 A, Breaker=CLOSE


[2026-05-10 00:40:33] Bus 1: V=0.990 pu, I=330.069 A, Breaker=CLOSE
[2026-05-10 00:40:33] Bus 2: V=0.991 pu, I=180.655 A, Breaker=CLOSE
[2026-05-10 00:40:33] Bus 3: V=0.992 pu, I=490.448 A, Breaker=CLOSE
[2026-05-10 00:40:33] Bus 4: V=1.008 pu, I=391.069 A, Breaker=CLOSE
[2026-05-10 00:40:33] Bus 5: V=1.035 pu, I=410.586 A, Breaker=CLOSE


