Memulai Server OPC UA
Endpoints other than open requested but private key and certificate are not set.
Listening on 10.0.2.2:4840
Memulai Modbus Gateway di 0.0.0.0:5020


[2026-05-17 01:22:09] [iter 1] [Bus 1] P/Q/CMD -> V_in=0.0000 pu, I_in=0.0000 A, PF=0.0000, V_out=0.0000 pu, I_out=0.0000 A, V_DT=1.0000 pu, P=0.0000 MW, Q=0.0000 MVar
[2026-05-17 01:22:41] [iter 9] [Bus 2] P/Q/CMD -> V_in=1.0050 pu, I_in=315.8333 A, PF=0.9232, V_out=1.0050 pu, I_out=315.8333 A, V_DT=1.0097 pu, P=55.8307 MW, Q=23.2418 MVar
[2026-05-17 01:22:41] [iter 9] [Bus 3] P/Q/CMD -> V_in=1.0090 pu, I_in=359.4000 A, PF=0.9010, V_out=1.0090 pu, I_out=359.4000 A, V_DT=1.0067 pu, P=62.2511 MW, Q=29.9731 MVar
[2026-05-17 01:22:41] [iter 9] [Bus 4] P/Q/CMD -> V_in=1.0060 pu, I_in=465.9000 A, PF=0.8950, V_out=1.0060 pu, I_out=465.9000 A, V_DT=1.0100 pu, P=79.9221 MW, Q=39.8330 MVar
[2026-05-17 01:22:41] [iter 9] [Bus 5] P/Q/CMD -> V_in=1.0110 pu, I_in=466.1333 A, PF=0.9611, V_out=1.0110 pu, I_out=466.1333 A, V_DT=1.0079 pu, P=86.2945 MW, Q=24.7993 MVar


[2026-05-17 01:22:45] [iter 10] [Bus 1] P/Q/CMD -> V_in=1.0200 pu, I_in=797.7667 A, PF=0.9625, V_out=1.0200 pu, I_out=797.7667 A, V_DT=1.0200 pu, P=149.2211 MW, Q=42.0581 MVar
[2026-05-17 01:22:45] [iter 10] [Bus 2] P/Q/CMD -> V_in=1.0140 pu, I_in=387.2000 A, PF=0.9292, V_out=1.0140 pu, I_out=387.2000 A, V_DT=1.0110 pu, P=69.5082 MW, Q=27.6460 MVar
[2026-05-17 01:22:45] [iter 10] [Bus 3] P/Q/CMD -> V_in=1.0080 pu, I_in=413.0667 A, PF=0.8989, V_out=1.0080 pu, I_out=413.0667 A, V_DT=1.0082 pu, P=71.3092 MW, Q=34.7585 MVar
[2026-05-17 01:22:45] [iter 10] [Bus 4] P/Q/CMD -> V_in=1.0050 pu, I_in=460.2667 A, PF=0.9070, V_out=1.0050 pu, I_out=460.2667 A, V_DT=1.0100 pu, P=79.9349 MW, Q=37.1147 MVar
[2026-05-17 01:22:45] [iter 10] [Bus 5] P/Q/CMD -> V_in=1.0100 pu, I_in=462.8333 A, PF=0.9875, V_out=1.0100 pu, I_out=462.8333 A, V_DT=1.0081 pu, P=87.9501 MW, Q=14.0381 MVar


[2026-05-17 01:22:49] [iter 11] [Bus 1] P/Q/CMD -> V_in=1.0140 pu, I_in=752.7667 A, PF=0.9716, V_out=1.0140 pu, I_out=752.7667 A, V_DT=1.0200 pu, P=141.2990 MW, Q=34.4128 MVar
[2026-05-17 01:22:49] [iter 11] [Bus 2] P/Q/CMD -> V_in=1.0130 pu, I_in=377.2667 A, PF=0.9487, V_out=1.0130 pu, I_out=377.2667 A, V_DT=1.0099 pu, P=69.0781 MW, Q=23.0220 MVar
[2026-05-17 01:22:49] [iter 11] [Bus 3] P/Q/CMD -> V_in=1.0070 pu, I_in=360.0000 A, PF=0.9456, V_out=1.0070 pu, I_out=360.0000 A, V_DT=1.0071 pu, P=65.3120 MW, Q=22.4704 MVar
[2026-05-17 01:22:49] [iter 11] [Bus 4] P/Q/CMD -> V_in=1.0060 pu, I_in=460.4667 A, PF=0.9076, V_out=1.0060 pu, I_out=460.4667 A, V_DT=1.0100 pu, P=80.1021 MW, Q=37.0535 MVar
[2026-05-17 01:22:49] [iter 11] [Bus 5] P/Q/CMD -> V_in=1.0090 pu, I_in=467.0667 A, PF=0.9652, V_out=1.0090 pu, I_out=467.0667 A, V_DT=1.0085 pu, P=86.6644 MW, Q=23.4810 MVar


[2026-05-17 01:22:53] [iter 12] [Bus 1] P/Q/CMD -> V_in=1.0200 pu, I_in=899.2667 A, PF=0.9818, V_out=1.0200 pu, I_out=899.2667 A, V_DT=1.0200 pu, P=171.5793 MW, Q=33.1900 MVar
[2026-05-17 01:22:53] [iter 12] [Bus 2] P/Q/CMD -> V_in=1.0100 pu, I_in=437.0667 A, PF=0.9512, V_out=1.0100 pu, I_out=437.0667 A, V_DT=1.0110 pu, P=80.0008 MW, Q=25.9527 MVar
[2026-05-17 01:22:53] [iter 12] [Bus 3] P/Q/CMD -> V_in=1.0050 pu, I_in=423.8333 A, PF=0.9416, V_out=1.0050 pu, I_out=423.8333 A, V_DT=1.0084 pu, P=76.4154 MW, Q=27.3276 MVar
[2026-05-17 01:22:53] [iter 12] [Bus 4] P/Q/CMD -> V_in=1.0130 pu, I_in=470.6667 A, PF=0.8833, V_out=1.0130 pu, I_out=470.6667 A, V_DT=1.0100 pu, P=80.2388 MW, Q=42.5864 MVar
[2026-05-17 01:22:53] [iter 12] [Bus 5] P/Q/CMD -> V_in=1.0050 pu, I_in=497.1667 A, PF=0.9810, V_out=1.0050 pu, I_out=497.1667 A, V_DT=1.0082 pu, P=93.3879 MW, Q=18.4689 MVar


[2026-05-17 01:22:57] [iter 13] [Bus 1] P/Q/CMD -> V_in=1.0240 pu, I_in=725.6667 A, PF=0.9529, V_out=1.0240 pu, I_out=725.6667 A, V_DT=1.0200 pu, P=134.9080 MW, Q=42.9379 MVar
[2026-05-17 01:22:57] [iter 13] [Bus 2] P/Q/CMD -> V_in=1.0050 pu, I_in=327.0667 A, PF=0.9026, V_out=1.0050 pu, I_out=327.0667 A, V_DT=1.0099 pu, P=56.5264 MW, Q=26.9593 MVar
[2026-05-17 01:22:57] [iter 13] [Bus 3] P/Q/CMD -> V_in=1.0070 pu, I_in=399.7667 A, PF=0.9041, V_out=1.0070 pu, I_out=399.7667 A, V_DT=1.0073 pu, P=69.3435 MW, Q=32.7751 MVar
[2026-05-17 01:22:57] [iter 13] [Bus 4] P/Q/CMD -> V_in=1.0140 pu, I_in=449.2667 A, PF=0.9222, V_out=1.0140 pu, I_out=449.2667 A, V_DT=1.0100 pu, P=80.0425 MW, Q=33.5648 MVar
[2026-05-17 01:22:57] [iter 13] [Bus 5] P/Q/CMD -> V_in=1.0110 pu, I_in=457.0667 A, PF=0.9877, V_out=1.0110 pu, I_out=457.0667 A, V_DT=1.0082 pu, P=86.9579 MW, Q=13.7661 MVar


[2026-05-17 01:23:01] [iter 14] [Bus 1] P/Q/CMD -> V_in=1.0170 pu, I_in=908.3667 A, PF=0.9739, V_out=1.0170 pu, I_out=908.3667 A, V_DT=1.0200 pu, P=171.4154 MW, Q=39.9501 MVar
[2026-05-17 01:23:01] [iter 14] [Bus 2] P/Q/CMD -> V_in=1.0120 pu, I_in=430.1000 A, PF=0.9252, V_out=1.0120 pu, I_out=430.1000 A, V_DT=1.0105 pu, P=76.7254 MW, Q=31.4697 MVar
[2026-05-17 01:23:01] [iter 14] [Bus 3] P/Q/CMD -> V_in=1.0070 pu, I_in=453.9333 A, PF=0.9156, V_out=1.0070 pu, I_out=453.9333 A, V_DT=1.0076 pu, P=79.7408 MW, Q=35.0186 MVar
[2026-05-17 01:23:01] [iter 14] [Bus 4] P/Q/CMD -> V_in=1.0100 pu, I_in=503.9667 A, PF=0.8263, V_out=1.0100 pu, I_out=503.9667 A, V_DT=1.0100 pu, P=80.1335 MW, Q=54.6214 MVar
[2026-05-17 01:23:01] [iter 14] [Bus 5] P/Q/CMD -> V_in=1.0070 pu, I_in=506.6000 A, PF=0.9684, V_out=1.0070 pu, I_out=506.6000 A, V_DT=1.0085 pu, P=94.1245 MW, Q=24.2409 MVar


[2026-05-17 01:23:05] [iter 15] [Bus 1] P/Q/CMD -> V_in=1.0210 pu, I_in=783.3333 A, PF=0.9650, V_out=1.0210 pu, I_out=783.3333 A, V_DT=1.0200 pu, P=147.0459 MW, Q=39.9614 MVar
[2026-05-17 01:23:05] [iter 15] [Bus 2] P/Q/CMD -> V_in=1.0120 pu, I_in=328.1667 A, PF=0.9197, V_out=1.0120 pu, I_out=328.1667 A, V_DT=1.0092 pu, P=58.1935 MW, Q=24.8429 MVar
[2026-05-17 01:23:05] [iter 15] [Bus 3] P/Q/CMD -> V_in=1.0130 pu, I_in=443.6333 A, PF=0.9036, V_out=1.0130 pu, I_out=443.6333 A, V_DT=1.0064 pu, P=77.3683 MW, Q=36.6786 MVar
[2026-05-17 01:23:05] [iter 15] [Bus 4] P/Q/CMD -> V_in=1.0080 pu, I_in=463.6333 A, PF=0.8956, V_out=1.0080 pu, I_out=463.6333 A, V_DT=1.0100 pu, P=79.7448 MW, Q=39.6107 MVar
[2026-05-17 01:23:05] [iter 15] [Bus 5] P/Q/CMD -> V_in=1.0070 pu, I_in=480.9667 A, PF=0.9859, V_out=1.0070 pu, I_out=480.9667 A, V_DT=1.0080 pu, P=90.9768 MW, Q=15.4414 MVar


[2026-05-17 01:23:09] [iter 16] [Bus 1] P/Q/CMD -> V_in=1.0180 pu, I_in=846.2333 A, PF=0.9691, V_out=1.0180 pu, I_out=846.2333 A, V_DT=1.0200 pu, P=159.0596 MW, Q=40.4860 MVar
[2026-05-17 01:23:09] [iter 16] [Bus 2] P/Q/CMD -> V_in=1.0150 pu, I_in=347.2667 A, PF=0.9175, V_out=1.0150 pu, I_out=347.2667 A, V_DT=1.0102 pu, P=61.6153 MW, Q=26.7102 MVar
[2026-05-17 01:23:09] [iter 16] [Bus 3] P/Q/CMD -> V_in=1.0020 pu, I_in=506.8333 A, PF=0.9259, V_out=1.0020 pu, I_out=506.8333 A, V_DT=1.0071 pu, P=89.5881 MW, Q=36.5521 MVar
[2026-05-17 01:23:09] [iter 16] [Bus 4] P/Q/CMD -> V_in=1.0110 pu, I_in=502.7000 A, PF=0.8276, V_out=1.0110 pu, I_out=502.7000 A, V_DT=1.0100 pu, P=80.1371 MW, Q=54.3529 MVar
[2026-05-17 01:23:09] [iter 16] [Bus 5] P/Q/CMD -> V_in=1.0060 pu, I_in=470.9000 A, PF=0.9519, V_out=1.0060 pu, I_out=470.9000 A, V_DT=1.0084 pu, P=85.9155 MW, Q=27.6555 MVar


[2026-05-17 01:23:13] [iter 17] [Bus 1] P/Q/CMD -> V_in=1.0200 pu, I_in=762.5000 A, PF=0.9701, V_out=1.0200 pu, I_out=762.5000 A, V_DT=1.0200 pu, P=143.7507 MW, Q=35.9644 MVar
[2026-05-17 01:23:13] [iter 17] [Bus 2] P/Q/CMD -> V_in=1.0180 pu, I_in=291.7333 A, PF=0.9502, V_out=1.0180 pu, I_out=291.7333 A, V_DT=1.0097 pu, P=53.7653 MW, Q=17.6336 MVar
[2026-05-17 01:23:13] [iter 17] [Bus 3] P/Q/CMD -> V_in=1.0050 pu, I_in=475.2667 A, PF=0.9180, V_out=1.0050 pu, I_out=475.2667 A, V_DT=1.0065 pu, P=83.5410 MW, Q=36.0901 MVar
[2026-05-17 01:23:13] [iter 17] [Bus 4] P/Q/CMD -> V_in=1.0090 pu, I_in=473.8667 A, PF=0.8771, V_out=1.0090 pu, I_out=473.8667 A, V_DT=1.0100 pu, P=79.9005 MW, Q=43.7543 MVar
[2026-05-17 01:23:13] [iter 17] [Bus 5] P/Q/CMD -> V_in=0.9990 pu, I_in=461.1333 A, PF=0.9653, V_out=0.9990 pu, I_out=461.1333 A, V_DT=1.0080 pu, P=84.7242 MW, Q=22.9205 MVar


[2026-05-17 01:23:17] [iter 18] [Bus 1] P/Q/CMD -> V_in=1.0230 pu, I_in=920.8333 A, PF=0.9803, V_out=1.0230 pu, I_out=920.8333 A, V_DT=1.0200 pu, P=175.9418 MW, Q=35.4494 MVar
[2026-05-17 01:23:17] [iter 18] [Bus 2] P/Q/CMD -> V_in=1.0090 pu, I_in=442.1333 A, PF=0.9423, V_out=1.0090 pu, I_out=442.1333 A, V_DT=1.0107 pu, P=80.0916 MW, Q=28.4540 MVar
[2026-05-17 01:23:17] [iter 18] [Bus 3] P/Q/CMD -> V_in=1.0090 pu, I_in=487.5333 A, PF=0.9575, V_out=1.0090 pu, I_out=487.5333 A, V_DT=1.0073 pu, P=89.7403 MW, Q=27.0330 MVar
[2026-05-17 01:23:17] [iter 18] [Bus 4] P/Q/CMD -> V_in=1.0040 pu, I_in=468.0667 A, PF=0.8872, V_out=1.0040 pu, I_out=468.0667 A, V_DT=1.0100 pu, P=79.4358 MW, Q=41.3103 MVar
[2026-05-17 01:23:17] [iter 18] [Bus 5] P/Q/CMD -> V_in=1.0060 pu, I_in=453.5333 A, PF=0.9788, V_out=1.0060 pu, I_out=453.5333 A, V_DT=1.0082 pu, P=85.0853 MW, Q=17.8045 MVar


[2026-05-17 01:23:21] [iter 19] [Bus 1] P/Q/CMD -> V_in=1.0230 pu, I_in=769.3333 A, PF=0.9696, V_out=1.0230 pu, I_out=769.3333 A, V_DT=1.0200 pu, P=145.3905 MW, Q=36.6918 MVar
[2026-05-17 01:23:21] [iter 19] [Bus 2] P/Q/CMD -> V_in=1.0140 pu, I_in=385.8333 A, PF=0.9430, V_out=1.0140 pu, I_out=385.8333 A, V_DT=1.0095 pu, P=70.2915 MW, Q=24.8065 MVar
[2026-05-17 01:23:21] [iter 19] [Bus 3] P/Q/CMD -> V_in=1.0100 pu, I_in=375.3667 A, PF=0.9377, V_out=1.0100 pu, I_out=375.3667 A, V_DT=1.0068 pu, P=67.7321 MW, Q=25.0968 MVar
[2026-05-17 01:23:21] [iter 19] [Bus 4] P/Q/CMD -> V_in=1.0100 pu, I_in=463.5333 A, PF=0.9003, V_out=1.0100 pu, I_out=463.5333 A, V_DT=1.0100 pu, P=80.3051 MW, Q=38.8253 MVar
[2026-05-17 01:23:21] [iter 19] [Bus 5] P/Q/CMD -> V_in=1.0070 pu, I_in=463.7000 A, PF=0.9674, V_out=1.0070 pu, I_out=463.7000 A, V_DT=1.0084 pu, P=86.0649 MW, Q=22.5307 MVar


[2026-05-17 01:23:25] [iter 20] [Bus 1] P/Q/CMD -> V_in=1.0220 pu, I_in=847.4333 A, PF=0.9801, V_out=1.0220 pu, I_out=847.4333 A, V_DT=1.0200 pu, P=161.7261 MW, Q=32.7552 MVar
[2026-05-17 01:23:25] [iter 20] [Bus 2] P/Q/CMD -> V_in=1.0090 pu, I_in=340.7333 A, PF=0.9763, V_out=1.0090 pu, I_out=340.7333 A, V_DT=1.0106 pu, P=63.9503 MW, Q=14.1762 MVar
[2026-05-17 01:23:25] [iter 20] [Bus 3] P/Q/CMD -> V_in=1.0100 pu, I_in=497.2000 A, PF=0.9037, V_out=1.0100 pu, I_out=497.2000 A, V_DT=1.0081 pu, P=86.4630 MW, Q=40.9655 MVar
[2026-05-17 01:23:25] [iter 20] [Bus 4] P/Q/CMD -> V_in=1.0180 pu, I_in=497.3333 A, PF=0.8330, V_out=1.0180 pu, I_out=497.3333 A, V_DT=1.0100 pu, P=80.3514 MW, Q=53.3689 MVar
[2026-05-17 01:23:25] [iter 20] [Bus 5] P/Q/CMD -> V_in=1.0100 pu, I_in=489.2333 A, PF=0.9571, V_out=1.0100 pu, I_out=489.2333 A, V_DT=1.0082 pu, P=90.1048 MW, Q=27.2788 MVar


[2026-05-17 01:23:29] [iter 21] [Bus 1] P/Q/CMD -> V_in=1.0200 pu, I_in=832.8667 A, PF=0.9821, V_out=1.0200 pu, I_out=832.8667 A, V_DT=1.0200 pu, P=158.9588 MW, Q=30.4873 MVar
[2026-05-17 01:23:29] [iter 21] [Bus 2] P/Q/CMD -> V_in=1.0110 pu, I_in=415.3333 A, PF=0.9696, V_out=1.0110 pu, I_out=415.3333 A, V_DT=1.0104 pu, P=77.5700 MW, Q=19.5761 MVar
[2026-05-17 01:23:29] [iter 21] [Bus 3] P/Q/CMD -> V_in=1.0030 pu, I_in=380.6667 A, PF=0.9375, V_out=1.0030 pu, I_out=380.6667 A, V_DT=1.0068 pu, P=68.1978 MW, Q=25.3140 MVar
[2026-05-17 01:23:29] [iter 21] [Bus 4] P/Q/CMD -> V_in=1.0110 pu, I_in=477.7000 A, PF=0.8676, V_out=1.0110 pu, I_out=477.7000 A, V_DT=1.0100 pu, P=79.8324 MW, Q=45.7557 MVar
[2026-05-17 01:23:29] [iter 21] [Bus 5] P/Q/CMD -> V_in=1.0040 pu, I_in=493.8667 A, PF=0.9561, V_out=1.0040 pu, I_out=493.8667 A, V_DT=1.0080 pu, P=90.3234 MW, Q=27.6837 MVar


[2026-05-17 01:23:33] [iter 22] [Bus 1] P/Q/CMD -> V_in=1.0230 pu, I_in=861.4667 A, PF=0.9730, V_out=1.0230 pu, I_out=861.4667 A, V_DT=1.0200 pu, P=163.3730 MW, Q=38.7537 MVar
[2026-05-17 01:23:33] [iter 22] [Bus 2] P/Q/CMD -> V_in=1.0140 pu, I_in=400.2000 A, PF=0.9432, V_out=1.0140 pu, I_out=400.2000 A, V_DT=1.0107 pu, P=72.9243 MW, Q=25.6863 MVar
[2026-05-17 01:23:33] [iter 22] [Bus 3] P/Q/CMD -> V_in=1.0070 pu, I_in=466.7000 A, PF=0.9277, V_out=1.0070 pu, I_out=466.7000 A, V_DT=1.0081 pu, P=83.0669 MW, Q=33.4279 MVar
