

[2026-02-26 14:34:14] Bus 1: V=0.986 pu, I=0.936, Breaker=CLOSE
[2026-02-26 14:35:14] Bus 5: V=1.014 pu, I=1.635, Breaker=CLOSE


[2026-02-26 14:35:18] Bus 1: V=1.025 pu, I=0.949, Breaker=CLOSE
[2026-02-26 14:35:18] Bus 2: V=0.960 pu, I=1.067, Breaker=OPEN
[2026-02-26 14:35:18] Bus 3: V=0.975 pu, I=0.225, Breaker=CLOSE
[2026-02-26 14:35:18] Bus 4: V=0.954 pu, I=1.733, Breaker=CLOSE
[2026-02-26 14:35:18] Bus 5: V=1.021 pu, I=0.288, Breaker=CLOSE


[2026-02-26 14:35:22] Bus 1: V=1.001 pu, I=0.126, Breaker=OPEN
[2026-02-26 14:35:22] Bus 2: V=0.977 pu, I=0.491, Breaker=OPEN
[2026-02-26 14:35:22] Bus 3: V=1.044 pu, I=1.728, Breaker=OPEN
[2026-02-26 14:35:22] Bus 4: V=1.013 pu, I=1.395, Breaker=CLOSE
[2026-02-26 14:35:22] Bus 5: V=0.968 pu, I=0.793, Breaker=CLOSE


[2026-02-26 14:35:26] Bus 1: V=1.001 pu, I=0.126, Breaker=CLOSE
[2026-02-26 14:35:26] Bus 2: V=0.977 pu, I=0.491, Breaker=OPEN
[2026-02-26 14:35:26] Bus 3: V=1.044 pu, I=1.728, Breaker=CLOSE
[2026-02-26 14:35:26] Bus 4: V=1.013 pu, I=1.395, Breaker=CLOSE
[2026-02-26 14:35:26] Bus 5: V=0.968 pu, I=0.793, Breaker=CLOSE


[2026-02-26 14:35:30] Bus 1: V=0.983 pu, I=1.015, Breaker=OPEN
[2026-02-26 14:35:30] Bus 2: V=0.989 pu, I=0.339, Breaker=OPEN
[2026-02-26 14:35:30] Bus 3: V=0.956 pu, I=0.481, Breaker=OPEN
[2026-02-26 14:35:30] Bus 4: V=1.014 pu, I=0.242, Breaker=CLOSE
[2026-02-26 14:35:30] Bus 5: V=1.008 pu, I=1.677, Breaker=CLOSE


[2026-02-26 14:35:34] Bus 1: V=0.995 pu, I=1.358, Breaker=CLOSE
[2026-02-26 14:35:34] Bus 2: V=1.001 pu, I=1.352, Breaker=OPEN
[2026-02-26 14:35:34] Bus 3: V=0.977 pu, I=0.231, Breaker=CLOSE
[2026-02-26 14:35:34] Bus 4: V=1.049 pu, I=0.982, Breaker=CLOSE
[2026-02-26 14:35:34] Bus 5: V=1.045 pu, I=1.331, Breaker=CLOSE
